Searching for counterexample to Bound 44
Time budget: 3600s | Restart budget: 120s
Max nodes: 100
Sparse init: random trees at n=40-60
============================================================

--- Restart 1 | 3600s remaining ---
  Starting from random tree: n=60
AMCS start | n=60 e=59 | score=-2.677395
  iter    3 | t=   0.0s | IMPROVED +0.016941 -> -2.240150 | n=45 e=49 | depth=0 level=1
  iter    4 | t=   0.0s | IMPROVED +0.017943 -> -2.222207 | n=45 e=51 | depth=0 level=1
  iter    5 | t=   0.0s | IMPROVED +0.187114 -> -2.035092 | n=46 e=53 | depth=0 level=1
  iter    6 | t=   0.0s | IMPROVED +0.012927 -> -2.022165 | n=46 e=55 | depth=0 level=1
  iter    7 | t=   0.0s | IMPROVED +0.009265 -> -2.012900 | n=46 e=57 | depth=0 level=1
  iter    8 | t=   0.0s | IMPROVED +0.062511 -> -1.950389 | n=46 e=59 | depth=0 level=1
  iter    9 | t=   0.0s | IMPROVED +0.103874 -> -1.846515 | n=47 e=61 | depth=0 level=1
  iter   10 | t=   0.0s | IMPROVED +0.097425 -> -1.749091 | n=47 e=63 | depth=0 level=1
  iter   11 | t=   0.0s | IMPROVED +0.134973 -> -1.614118 | n=48 e=65 | depth=0 level=1
  iter   12 | t=   0.1s | IMPROVED +0.120888 -> -1.493229 | n=48 e=67 | depth=0 level=1
  iter   13 | t=   0.1s | IMPROVED +0.070489 -> -1.422740 | n=48 e=69 | depth=0 level=1
  iter   14 | t=   0.1s | IMPROVED +0.008488 -> -1.414253 | n=48 e=71 | depth=0 level=1
  iter   15 | t=   0.1s | IMPROVED +0.078061 -> -1.336192 | n=48 e=73 | depth=0 level=1
  iter   16 | t=   0.1s | IMPROVED +0.028018 -> -1.308174 | n=48 e=75 | depth=0 level=1
  iter   17 | t=   0.1s | IMPROVED +0.000759 -> -1.307416 | n=48 e=77 | depth=0 level=1
  iter   18 | t=   0.1s | IMPROVED +0.065786 -> -1.241629 | n=48 e=79 | depth=0 level=1
  iter   19 | t=   0.2s | IMPROVED +0.007793 -> -1.233836 | n=48 e=81 | depth=0 level=1
  iter   20 | t=   0.2s | IMPROVED +0.027396 -> -1.206441 | n=49 e=83 | depth=0 level=1
  iter   21 | t=   0.2s | IMPROVED +0.005593 -> -1.200848 | n=49 e=85 | depth=0 level=1
  iter   22 | t=   0.2s | IMPROVED +0.006001 -> -1.194847 | n=49 e=87 | depth=0 level=1
  iter   23 | t=   0.2s | IMPROVED +0.000557 -> -1.194290 | n=50 e=89 | depth=0 level=1
  iter   24 | t=   0.3s | IMPROVED +0.013240 -> -1.181050 | n=50 e=91 | depth=0 level=1
  iter   25 | t=   0.3s | IMPROVED +0.002922 -> -1.178128 | n=51 e=93 | depth=0 level=1
  iter   26 | t=   0.3s | IMPROVED +0.018262 -> -1.159865 | n=52 e=95 | depth=0 level=1
  iter   27 | t=   0.4s | IMPROVED +0.051720 -> -1.108145 | n=52 e=97 | depth=0 level=1
  iter   28 | t=   0.5s | IMPROVED +0.004918 -> -1.103227 | n=53 e=99 | depth=0 level=1
  iter   29 | t=   0.8s | IMPROVED +0.001985 -> -1.101242 | n=54 e=101 | depth=0 level=1
  iter   30 | t=   0.9s | IMPROVED +0.000236 -> -1.101006 | n=55 e=103 | depth=0 level=1
  iter   31 | t=   1.2s | IMPROVED +0.001180 -> -1.099826 | n=56 e=105 | depth=0 level=1
  iter   32 | t=   1.6s | IMPROVED +0.000391 -> -1.099435 | n=56 e=107 | depth=0 level=1
  iter   33 | t=   1.9s | IMPROVED +0.038555 -> -1.060881 | n=57 e=109 | depth=0 level=1
