Tabu Search for counterexample to Bound 44
Time budget: 1800s | Start n=15 | Restarts=5
============================================================

============================================================
Restart 1/5 | n=15 e=21 density=0.2 | budget=360s
============================================================
Tabu Search start | n=15 e=21 | score=-1.198410
  iter   650 | t=  126.7s | current=-0.110197 best=-0.089523 | n=15 e=31 | tabu=50
  iter   700 | t=  136.4s | current=-0.176014 best=-0.089523 | n=15 e=31 | tabu=50
  iter   750 | t=  146.2s | current=-0.174124 best=-0.089523 | n=15 e=31 | tabu=50
  iter   800 | t=  155.9s | current=-0.089523 best=-0.089523 | n=15 e=31 | tabu=50
  iter   850 | t=  165.6s | current=-0.089523 best=-0.089523 | n=15 e=31 | tabu=50
  iter   900 | t=  175.2s | current=-0.110197 best=-0.089523 | n=15 e=31 | tabu=50
  iter   950 | t=  185.1s | current=-0.169264 best=-0.089523 | n=15 e=31 | tabu=50
  iter  1000 | t=  194.9s | current=-0.174124 best=-0.089523 | n=15 e=31 | tabu=50
  iter  1050 | t=  204.8s | current=-0.089523 best=-0.089523 | n=15 e=31 | tabu=50
  iter  1100 | t=  214.5s | current=-0.089523 best=-0.089523 | n=15 e=31 | tabu=50
  iter  1150 | t=  224.3s | current=-0.089523 best=-0.089523 | n=15 e=31 | tabu=50
  iter  1200 | t=  234.0s | current=-0.110197 best=-0.089523 | n=15 e=31 | tabu=50
  iter  1250 | t=  244.1s | current=-0.089523 best=-0.089523 | n=15 e=31 | tabu=50
  iter  1260 | t=  245.9s | NEW BEST=-0.08952278 | n=15 e=31 | neighbors=85
  iter  1300 | t=  253.8s | current=-0.180509 best=-0.089523 | n=15 e=31 | tabu=50
  iter  1350 | t=  263.5s | current=-0.110197 best=-0.089523 | n=15 e=31 | tabu=50
  iter  1400 | t=  273.3s | current=-0.089523 best=-0.089523 | n=15 e=31 | tabu=50
  iter  1450 | t=  282.9s | current=-0.089523 best=-0.089523 | n=15 e=31 | tabu=50
  iter  1500 | t=  292.6s | current=-0.089523 best=-0.089523 | n=15 e=31 | tabu=50
  iter  1550 | t=  302.2s | current=-0.174124 best=-0.089523 | n=15 e=31 | tabu=50
  iter  1600 | t=  311.9s | current=-0.174124 best=-0.089523 | n=15 e=31 | tabu=50
  iter  1650 | t=  321.6s | current=-0.089523 best=-0.089523 | n=15 e=31 | tabu=50
  iter  1700 | t=  331.3s | current=-0.089523 best=-0.089523 | n=15 e=31 | tabu=50
  iter  1750 | t=  341.0s | current=-0.089523 best=-0.089523 | n=15 e=31 | tabu=50
  iter  1800 | t=  350.7s | current=-0.089523 best=-0.089523 | n=15 e=31 | tabu=50
Tabu Search done | 360.1s | 1849 iterations | best=-0.08952278

============================================================
Restart 3/5 | n=15 e=42 density=0.4 | budget=360s
============================================================
Tabu Search start | n=15 e=42 | score=-3.857631
  iter     1 | t=    0.0s | NEW BEST=-2.90102361 | n=15 e=42 | neighbors=3
  iter     1 | t=    0.0s | NEW BEST=-2.86815734 | n=15 e=42 | neighbors=97
  iter     1 | t=    0.2s | NEW BEST=-2.79101281 | n=15 e=42 | neighbors=382
  iter     2 | t=    0.2s | NEW BEST=-2.66336374 | n=15 e=42 | neighbors=2
  iter     2 | t=    0.2s | NEW BEST=-2.55840443 | n=15 e=42 | neighbors=12
  iter     2 | t=    0.2s | NEW BEST=-2.51720416 | n=15 e=42 | neighbors=13
  iter     2 | t=    0.2s | NEW BEST=-2.46375323 | n=15 e=42 | neighbors=45
  iter     2 | t=    0.2s | NEW BEST=-2.37563633 | n=15 e=42 | neighbors=46
  iter     2 | t=    0.2s | NEW BEST=-2.36435816 | n=15 e=42 | neighbors=55
